,movieId,average_rating,standardized_vote_count,Unnamed: 0,title,genres
68,1198,4.2075,3.0395136778115504,900,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
69,1200,3.9642857142857144,1.9148936170212767,902,Aliens (1986),Action|Adventure|Horror|Sci-Fi
70,1206,3.995833333333333,1.8237082066869301,907,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
71,1208,4.219626168224299,1.6261398176291795,909,Apocalypse Now (1979),Action|Drama|War
72,1210,4.137755102040816,2.978723404255319,911,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
73,1213,4.25,1.9148936170212767,914,Goodfellas (1990),Crime|Drama
74,1214,3.969178082191781,2.218844984802432,915,Alien (1979),Horror|Sci-Fi
75,1221,4.25968992248062,1.9604863221884499,922,The Godfather: Part II (1974),Crime|Drama
76,1222,4.098039215686274,1.5501519756838906,923,Full Metal Jacket (1987),Drama|War
77,1240,3.8969465648854964,1.9908814589665653,939,The Terminator (1984),Action|Sci-Fi|Thriller
78,1258,4.08256880733945,1.656534954407295,957,The Shining (1980),Horror
79,1265,3.944055944055944,2.1732522796352582,964,Groundhog Day (1993),Comedy|Fantasy|Romance
80,1270,4.038011695906433,2.5987841945288754,969,Back to the Future (1985),Adventure|Comedy|Sci-Fi
81,1291,4.046428571428572,2.127659574468085,990,Indiana Jones and the Last Crusade (1989),Action|Adventure
82,1527,3.7456896551724137,1.7629179331306992,1158,The Fifth Element (1997),Action|Adventure|Comedy|Sci-Fi
83,1580,3.487878787878788,2.507598784194529,1183,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
84,1682,3.812,1.899696048632219,1267,The Truman Show (1998),Comedy|Drama|Sci-Fi
85,1704,4.078014184397163,2.142857142857143,1284,Good Will Hunting (1997),Drama|Romance
86,1721,3.414285714285714,2.127659574468085,1291,Titanic (1997),Drama|Romance
87,1732,3.9245283018867925,1.6109422492401215,1298,The Big Lebowski (1998),Comedy|Crime
88,1923,3.676190476190476,1.5957446808510638,1404,There's Something About Mary (1998),Comedy|Romance
89,1968,3.7787610619469025,1.7173252279635258,1445,The Breakfast Club (1985),Comedy|Drama
90,2028,4.1462765957446805,2.857142857142857,1503,Saving Private Ryan (1998),Action|Drama|War
91,2115,3.638888888888889,1.6413373860182372,1576,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
92,2329,4.217054263565892,1.9604863221884499,1734,American History X (1998),Crime|Drama
93,2571,4.192446043165468,4.224924012158055,1939,The Matrix (1999),Action|Sci-Fi|Thriller
94,2628,3.107142857142857,2.127659574468085,1979,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi
95,2683,3.1983471074380163,1.8389057750759878,2014,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy
96,2706,3.378640776699029,1.5653495440729484,2031,American Pie (1999),Comedy|Romance
97,2716,3.775,1.8237082066869301,2038,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
98,2762,3.893854748603352,2.7203647416413372,2078,The Sixth Sense (1999),Drama|Horror|Mystery
99,2858,4.056372549019608,3.1003039513677813,2145,American Beauty (1999),Drama|Romance
100,2918,3.8394495412844036,1.656534954407295,2195,Ferris Bueller's Day Off (1986),Comedy
101,2959,4.272935779816514,3.31306990881459,2226,Fight Club (1999),Action|Crime|Drama|Thriller
102,3147,4.148648648648648,1.6869300911854104,2372,The Green Mile (1999),Crime|Drama
103,3578,3.9382352941176473,2.5835866261398177,2674,Gladiator (2000),Action|Adventure|Drama
104,3793,3.699248120300752,2.021276595744681,2836,X-Men (2000),Action|Adventure|Sci-Fi
105,3996,3.8363636363636364,1.6717325227963526,2983,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
106,4226,4.122641509433962,2.4164133738601823,3141,Memento (2000),Mystery|Thriller
107,4306,3.8676470588235294,2.5835866261398177,3194,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
108,4878,3.981651376146789,1.656534954407295,3562,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
109,4886,3.871212121212121,2.0060790273556233,3568,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
110,4896,3.7616822429906542,1.6261398176291795,3574,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
111,4963,3.8445378151260505,1.8085106382978724,3614,Ocean's Eleven (2001),Crime|Thriller
112,4973,4.183333333333334,1.8237082066869301,3622,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
113,4993,4.106060606060606,3.009118541033435,3638,The Lord of the Rings: The Fellowship of the Ring (2001),Adventure|Fantasy
114,4995,4.0,1.8693009118541033,3640,"Beautiful Mind, A (2001)",Drama|Romance
115,5349,3.540983606557377,1.8541033434650456,3819,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
116,5418,3.8169642857142856,1.702127659574468,3854,The Bourne Identity (2002),Action|Mystery|Thriller
117,5445,3.6375,1.8237082066869301,3873,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller
118,5816,3.5980392156862746,1.5501519756838906,4076,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy
119,5952,4.0212765957446805,2.857142857142857,4137,The Lord of the Rings: The Two Towers (2002),Adventure|Fantasy
120,5989,3.9217391304347826,1.7477203647416413,4159,Catch Me If You Can (2002),Crime|Drama
121,6377,3.9609929078014185,2.142857142857143,4360,Finding Nemo (2003),Adventure|Animation|Children|Comedy
122,6539,3.778523489932886,2.264437689969605,4427,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
123,6874,3.9618320610687023,1.9908814589665653,4615,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller
124,7153,4.118918918918919,2.811550151975684,4800,The Lord of the Rings: The Return of the King (2003),Action|Adventure|Drama|Fantasy
125,7361,4.1603053435114505,1.9908814589665653,4909,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
126,7438,3.868181818181818,1.6717325227963526,4935,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
127,8961,3.836,1.899696048632219,5374,The Incredibles (2004),Action|Adventure|Animation|Children|Comedy
128,33794,3.8620689655172415,1.7629179331306992,5917,Batman Begins (2005),Action|Crime|IMAX
129,48516,4.252336448598131,1.6261398176291795,6315,The Departed (2006),Crime|Drama|Thriller
130,58559,4.238255033557047,2.264437689969605,6710,The Dark Knight (2008),Action|Crime|Drama|IMAX
131,60069,4.0576923076923075,1.580547112462006,6772,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi
132,68954,4.004761904761905,1.5957446808510638,7039,Up (2009),Adventure|Animation|Children|Drama
133,79132,4.066433566433567,2.1732522796352582,7372,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
